qid,name,address,zip,lat,long,url
2727,"Centre de vaccination - Parc d'activité Saint-Ouen-l’Aumône","19 Avenue de l’Eguillette",95572,49.0532,2.133,
55,"Plateau de consultations du service de maladies infectieuses - ANGERS -professionnels de santé extérieurs au CHU","4 Rue Larrey",49007,47.4816,-0.554632,https://partners.doctolib.fr/hopital-public/angers/chu-d-angers-centre-de-vaccination-reserve-aux-professionnels-de-sante-de-l-etablissement?speciality_id=5494&enable_cookies_consent=1
2660,SDIS,"5 Rue Hippolyte Malegue",43157,45.0142,3.90514,
2531,"UHSI Lille","5 Avenue Oscar Lambret",59350,50.61,3.03764,
1220,"Centre de vaccination - Centre de soins non programmés - Ville d'Andrézieux-Bouthéon","14 Rue Claude Limousin",42005,45.526,4.25364,https://partners.doctolib.fr/centre-de-vaccinations-internationales/andrezieux-boutheon/centre-de-vaccination-covid-19-andrezieux-boutheon?pid=practice-165752&enable_cookies_consent=1
347,"Centre de vaccination - Salle François Mitterrand","5001 F Rue René Cassin",62427,50.41,2.9632,https://partners.doctolib.fr/espic-etablissement-de-sante-prive-d-interet-collectif/valenciennes-divion-henin-beaumont-lievin/groupe-ahnac?pid=practice-182024&enable_cookies_consent=1
440,"Centre de Vaccination - MAYENNE - Salle polyvalente"," Rue Volney",53147,48.2969,-0.611258,https://partners.doctolib.fr/maison-de-sante/mayenne/pole-de-sante-de-mayenne-centre-de-vaccination?pid=practice-181021&enable_cookies_consent=1
345,"Centre de vaccination - CH Calais, Salle polyvalente de l’EHPAD la Roselière, ","1601 Boulevard des Justes",62193,50.9398,1.89115,https://partners.doctolib.fr/vaccination-covid-19/calais/ght-cote-d-opale-vaccination-covid-ch-calais-ehpad-la-roseliere?pid=practice-163842&enable_cookies_consent=1
634,"Centre Municipal de Santé de L'Hay Les Roses","73 Avenue Larroumes",94038,48.7754,2.32599,https://partners.doctolib.fr/vaccination-covid-19/l-hay-les-roses/centre-de-vaccination-covid-19-l-hay-les-roses?pid=practice-2134&enable_cookies_consent=1
832,"Centre de Tir à l’Arc"," Chemin des Archets",83023,43.4139,6.06498,https://partners.doctolib.fr/vaccination-covid-19/brignoles/centre-de-vaccination-covid-19-du-var-brignoles?pid=practice-165073&enable_cookies_consent=1
236,"Centre de vaccination - CH Chauny","94 Rue Anciens Combattants Afn Tom",02173,49.6258,3.23436,https://partners.doctolib.fr/vaccination-covid-19/chauny/centre-de-vaccination-covid-19-ch-de-chauny?pid=practice-39705&enable_cookies_consent=1
1005,"CH René Muret","1 Avenue du Docteur Schaffner",93071,48.9362,2.5106,https://partners.doctolib.fr/vaccination-covid-19/sevran/centre-de-vaccination-rene-muret-ap-hp?pid=practice-31581&enable_cookies_consent=1
1582,"Centre de  vaccination CH de Cavaillon","119 Avenue Georges Clémenceau",84035,43.8401,5.03799,https://partners.doctolib.fr/vaccination-covid-19/cavaillon/centre-hospitalier-intercommunal-cavaillon-lauris-vaccination-covid-19-cavaillon?pid=practice-167685&enable_cookies_consent=1
2000,"Centre de Vaccination d'Arette","2 Place de la Mairie",64040,43.0952,-0.716466,https://partners.doctolib.fr/vaccination-covid-19/arette/centre-de-vaccination-covid-19-arette?pid=practice-176246&enable_cookies_consent=1
1008,"Centre de vaccination de Mulhouse - Gymnase universitaire","3 Rue des Frères Lumière",68224,47.7326,7.31648,https://partners.doctolib.fr/centre-de-sante/mulhouse/centre-de-vaccination-de-mulhouse?pid=practice-164975?speciality_id=5494&enable_cookies_consent=1
562,"Centre vaccination LOUHANS/BRANGES - Salle du Marais","155 Route du Bourg",71056,46.6459,5.16922,https://partners.doctolib.fr/centre-de-sante/louhans/centre-de-vaccination-de-louhans?speciality_id=5494&enable_cookies_consent=1
2496,"Centre de Vaccination - REZE - Trocardière"," Rue de la Trocardière",44143,47.1799,-1.57102,https://partners.doctolib.fr/vaccination-covid-19/trocardiere/vaccination-covid-19-treillieres-sdis-44?pid=practice-184335&enable_cookies_consent=1
1225,"Centre de vaccination UGECAM d'Illkirch-Graffenstaden ","10 Avenue Achille Baumann",67218,48.5379,7.72465,https://partners.doctolib.fr/centre-de-sante/illkirch-graffenstaden/centre-de-vaccination-covid-d-illkirch?speciality_id=5494&enable_cookies_consent=1
209,"Centre de vaccination Sélestat -Les Tanzmatten ","10 Quai de l'Ill ",67462,48.2566,7.45774,https://partners.doctolib.fr/centre-de-vaccinations-internationales/selestat/centre-de-vaccination-covid-19-ville-de-selestat?speciality_id=5494&enable_cookies_consent=1
582,"Louviers : maison des sports et associations","10 Avenue du Maréchal Leclerc",27375,49.208,1.15292,https://partners.doctolib.fr/hopital-public/evreux/ch-eure-seine-centre-de-vaccination-covid-vacci-covid-27?pid=practice-164880&?speciality_id=5494&enable_cookies_consent=1
2235,"Grand centre 70","3 Gymnase Lasalle, Place René Hologne",70550,47.6211,6.15102,https://partners.doctolib.fr/centre-de-sante/vesoul/centre-de-vaccination-covid-19-grand-centre-70?pid=practice-183959&enable_cookies_consent=1
2215,"Grand centre LE MANS "," Avenue du Parc des Expositions",72181,47.9569,0.203398,https://partners.doctolib.fr/centre-de-sante/le-mans/centre-de-vaccination-la-rotonde-du-centre-des-exposition-du-mans?pid=practice-182151&enable_cookies_consent=1
2532,"UHSA LILLE SECLIN","2 Avenue Oscar Lambret",59350,50.61,3.03764,
2630,"SOS Médecin","20 Avenue de l’Île de France",25056,47.221,5.96605,https://partners.doctolib.fr/vaccination-covid-19/besancon/centre-de-vaccination-sos-medecin-besancon?pid=practice-187215&enable_cookies_consent=1
2533,"UHSI NANCY","29 Av du Mal de Lattre de Tassigny",54395,48.6839,6.18941,
23,"Centre de vaccination du CH Troyes( ancien LIDL)"," Av du Mal de Lattre de Tassigny",10387,48.3047,4.09398,https://partners.doctolib.fr/centre-de-sante/troyes/centre-de-vaccination-covid-troyes-champagne-metropole-ex-lidl?speciality_id=5494&enable_cookies_consent=1
1284,"Lieu de vaccination FRESNES EN WOEVRE - MSP","16 bis Rue des Eparges",55198,49.0945,5.62516,https://www.maiia.com/centre-de-vaccination/55160-fresnes-en-woevre/centre-de-vaccination---fresnes-en-woevre
1302,"GOUAREC - Bel Air"," Rue de Bel Air",22064,48.2292,-3.1933,https://vaccination-covid.keldoc.com/cabinet-medical/gouarec-22570/salle-des-fetes-rostrenen/salle-des-fetes-rostrenen?cabinet=17001&specialty=144
