date,age,first_dose,second_dose,percent_first,percent_second
2021-09-12,04,4462,2107,0.1,0.1
2021-09-12,11,12371,8301,0.7,0.5
2021-09-12,17,3396669,2778738,68.0,55.7
2021-09-12,24,4686963,4310096,86.4,79.5
2021-09-12,29,3127443,2882290,84.1,77.5
2021-09-12,39,6771800,6292588,81.6,75.9
2021-09-12,49,7382892,6996248,85.9,81.4
2021-09-12,59,7879297,7592039,89.6,86.3
2021-09-12,09,1864,482,0.0,0.0
2021-09-12,64,3684452,3586940,89.8,87.4
2021-09-12,69,3474929,3398992,89.1,87.1
2021-09-12,74,3376385,3308792,97.1,95.1
2021-09-12,79,2138749,2092529,96.5,94.4
2021-09-12,80,3555013,3433432,85.5,82.6
2021-09-12,0,49493289,46683574,73.7,69.6
