dep,date,first_dose,second_dose,percent_first,percent_second
01,2021-09-12,404178,373932,61.5,56.9
02,2021-09-12,376023,354917,71.5,67.5
03,2021-09-12,276350,261647,83.4,79.0
04,2021-09-12,111764,103039,67.7,62.4
05,2021-09-12,107384,102322,75.8,72.2
06,2021-09-12,887067,818050,82.2,75.8
07,2021-09-12,235775,220921,72.1,67.6
08,2021-09-12,203555,194023,76.7,73.1
09,2021-09-12,126376,118601,82.9,77.8
10,2021-09-12,228729,217424,73.8,70.2
11,2021-09-12,263087,252809,70.6,67.8
12,2021-09-12,211943,201792,76.1,72.5
13,2021-09-12,1385924,1291005,68.1,63.5
14,2021-09-12,567196,539952,82.0,78.1
15,2021-09-12,116897,111608,81.9,78.2
16,2021-09-12,271143,255076,77.9,73.3
17,2021-09-12,541400,518764,83.7,80.2
18,2021-09-12,225682,210697,76.1,71.1
19,2021-09-12,188966,179887,78.6,74.8
21,2021-09-12,395870,374305,74.3,70.2
22,2021-09-12,503148,467180,84.4,78.4
23,2021-09-12,92795,86211,79.8,74.1
24,2021-09-12,308718,291580,75.6,71.4
25,2021-09-12,374018,353910,69.3,65.6
26,2021-09-12,396268,371718,76.1,71.4
27,2021-09-12,428850,402671,71.4,67.0
28,2021-09-12,316777,299204,73.8,69.7
29,2021-09-12,736890,688764,81.3,76.0
2A,2021-09-12,121351,114451,74.7,70.5
2B,2021-09-12,120742,113690,66.2,62.4
30,2021-09-12,533022,504633,71.2,67.4
31,2021-09-12,962238,917090,68.7,65.5
32,2021-09-12,151443,139670,79.7,73.5
33,2021-09-12,1269847,1208291,77.7,74.0
34,2021-09-12,871670,829345,74.1,70.5
35,2021-09-12,825037,783066,76.2,72.4
36,2021-09-12,168786,158946,77.7,73.2
37,2021-09-12,462945,442744,76.5,73.1
38,2021-09-12,893746,846670,70.7,66.9
39,2021-09-12,195784,184825,75.9,71.7
40,2021-09-12,336329,327001,81.6,79.4
41,2021-09-12,246534,235323,75.2,71.8
42,2021-09-12,592799,559022,77.5,73.1
43,2021-09-12,165512,157713,72.9,69.5
44,2021-09-12,1092968,1051226,76.1,73.1
45,2021-09-12,480773,456306,70.4,66.8
46,2021-09-12,146103,138413,84.4,79.9
47,2021-09-12,253882,238444,76.9,72.2
48,2021-09-12,52250,49955,68.5,65.5
49,2021-09-12,653892,612113,80.1,75.0
50,2021-09-12,408698,391467,83.3,79.8
51,2021-09-12,417463,398448,74.0,70.7
52,2021-09-12,126677,120305,74.8,71.1
53,2021-09-12,238136,224864,78.0,73.6
54,2021-09-12,525685,500602,72.0,68.5
55,2021-09-12,126657,118587,69.7,65.3
56,2021-09-12,620614,588547,82.1,77.9
57,2021-09-12,746434,709144,72.1,68.5
58,2021-09-12,162550,154010,81.4,77.2
59,2021-09-12,1914975,1813778,74.0,70.1
60,2021-09-12,548719,511912,66.5,62.0
61,2021-09-12,229188,217750,82.8,78.6
62,2021-09-12,1100827,1047979,75.8,72.1
63,2021-09-12,490233,469999,74.3,71.2
64,2021-09-12,564405,544407,82.6,79.7
65,2021-09-12,192192,182277,84.7,80.4
66,2021-09-12,377161,362448,78.7,75.7
67,2021-09-12,851400,817260,75.2,72.2
68,2021-09-12,525602,498247,68.9,65.3
69,2021-09-12,1436890,1370269,76.6,73.0
70,2021-09-12,172187,162812,73.8,69.8
71,2021-09-12,431988,416529,78.9,76.0
72,2021-09-12,420701,396013,75.1,70.7
73,2021-09-12,324457,309716,75.0,71.6
74,2021-09-12,598183,565703,72.2,68.3
75,2021-09-12,1939695,1842895,90.3,85.8
76,2021-09-12,998544,953693,80.3,76.7
77,2021-09-12,918037,856605,64.5,60.2
78,2021-09-12,885711,831067,61.1,57.4
79,2021-09-12,291402,276282,78.2,74.1
80,2021-09-12,435907,413629,76.5,72.6
81,2021-09-12,291559,277238,75.2,71.5
82,2021-09-12,192004,179359,73.1,68.3
83,2021-09-12,768543,728290,71.6,67.8
84,2021-09-12,409402,383785,73.0,68.4
85,2021-09-12,565774,541195,82.8,79.2
86,2021-09-12,337389,316505,77.1,72.4
87,2021-09-12,288577,275013,77.8,74.2
88,2021-09-12,283617,267875,78.9,74.5
89,2021-09-12,242783,228285,73.1,68.7
90,2021-09-12,98986,94227,70.6,67.2
91,2021-09-12,835804,782249,63.3,59.3
92,2021-09-12,1135832,1077193,70.4,66.8
93,2021-09-12,1269229,1132501,76.0,67.8
94,2021-09-12,1034613,979793,73.6,69.7
95,2021-09-12,899120,831591,72.0,66.6
971,2021-09-12,116049,90964,30.8,24.1
972,2021-09-12,113598,91949,31.7,25.6
973,2021-09-12,75420,63160,25.9,21.7
974,2021-09-12,467245,420060,54.3,48.8
976,2021-09-12,106403,74468,38.1,26.6
977,2021-09-12,6575,5901,66.0,59.2
978,2021-09-12,12220,10732,34.6,30.4
