date,reg,age,first_dose,second_dose,percent_first,percent_second
2021-09-12,01,04,16,8,0.1,0.0
2021-09-12,01,11,38,18,0.4,0.2
2021-09-12,01,17,5356,3415,17.1,10.9
2021-09-12,01,24,7348,5560,27.1,20.5
2021-09-12,01,29,4583,3588,27.3,21.4
2021-09-12,01,39,11966,9417,32.2,25.3
2021-09-12,01,49,16901,13472,34.5,27.5
2021-09-12,01,59,23100,18288,38.2,30.2
2021-09-12,01,09,7,3,0.0,0.0
2021-09-12,01,64,11494,9156,41.8,33.3
2021-09-12,01,69,11322,9147,47.9,38.7
2021-09-12,01,74,9904,7941,50.0,40.1
2021-09-12,01,79,6926,5512,52.3,41.6
2021-09-12,01,80,7088,5439,33.9,26.0
2021-09-12,02,04,11,0,0.1,0.0
2021-09-12,02,11,40,16,0.5,0.2
2021-09-12,02,17,4982,3425,19.0,13.1
2021-09-12,02,24,6693,5170,27.5,21.2
2021-09-12,02,29,4456,3552,28.6,22.8
2021-09-12,02,39,11973,9796,34.9,28.6
2021-09-12,02,49,15531,12781,36.1,29.7
2021-09-12,02,59,22450,18180,35.8,29.0
2021-09-12,02,09,2,1,0.0,0.0
2021-09-12,02,64,11741,9573,41.2,33.6
2021-09-12,02,69,11387,9411,47.4,39.1
2021-09-12,02,74,9839,8197,50.2,41.8
2021-09-12,02,79,6699,5568,48.2,40.1
2021-09-12,02,80,7794,6279,32.1,25.9
2021-09-12,03,04,34,15,0.1,0.0
2021-09-12,03,11,22,17,0.2,0.1
2021-09-12,03,17,5654,4061,15.7,11.3
2021-09-12,03,24,7909,6093,25.6,19.7
2021-09-12,03,29,6723,5507,33.7,27.6
2021-09-12,03,39,15063,12622,38.0,31.9
2021-09-12,03,49,14664,12521,42.2,36.0
2021-09-12,03,59,13188,11491,48.8,42.5
2021-09-12,03,09,16,6,0.1,0.0
2021-09-12,03,64,4678,4155,45.9,40.7
2021-09-12,03,69,3191,2844,44.0,39.2
2021-09-12,03,74,2094,1874,44.9,40.2
2021-09-12,03,79,1167,1052,43.2,38.9
2021-09-12,03,80,1017,902,30.0,26.6
2021-09-12,04,04,40,8,0.1,0.0
2021-09-12,04,11,105,67,0.4,0.2
2021-09-12,04,17,33178,26418,40.4,32.2
2021-09-12,04,24,44841,38145,60.2,51.2
2021-09-12,04,29,28505,24364,58.4,49.9
2021-09-12,04,39,68900,60058,65.9,57.4
2021-09-12,04,49,79513,71810,70.0,63.2
2021-09-12,04,59,90138,83585,71.8,66.6
2021-09-12,04,09,24,6,0.0,0.0
2021-09-12,04,64,37182,35170,75.3,71.2
2021-09-12,04,69,31271,29682,77.3,73.3
2021-09-12,04,74,22166,21106,81.5,77.6
2021-09-12,04,79,14694,13954,75.4,71.6
2021-09-12,04,80,16688,15687,66.0,62.1
2021-09-12,06,04,69,25,0.2,0.1
2021-09-12,06,11,124,30,0.8,0.2
2021-09-12,06,17,14756,6326,35.8,15.4
2021-09-12,06,24,14620,9070,54.5,33.8
2021-09-12,06,29,10597,7106,56.9,38.2
2021-09-12,06,39,23144,16709,61.4,44.3
2021-09-12,06,49,21036,16647,74.8,59.2
2021-09-12,06,59,12984,10888,87.9,73.7
2021-09-12,06,09,10,6,0.0,0.0
2021-09-12,06,64,3956,3387,86.1,73.7
2021-09-12,06,69,2436,2133,77.3,67.7
2021-09-12,06,74,1357,1117,76.5,62.9
2021-09-12,06,79,708,573,56.2,45.5
2021-09-12,06,80,606,451,51.1,38.0
2021-09-12,07,11,2,0,1.1,0.0
2021-09-12,07,17,145,119,26.9,22.0
2021-09-12,07,24,595,508,78.6,67.1
2021-09-12,07,29,696,612,72.5,63.7
2021-09-12,07,39,1333,1182,76.1,67.5
2021-09-12,07,49,1352,1214,74.8,67.1
2021-09-12,07,59,1344,1249,86.8,80.7
2021-09-12,07,64,409,375,94.5,86.6
2021-09-12,07,69,294,273,95.1,88.3
2021-09-12,07,74,184,169,73.3,67.3
2021-09-12,07,79,119,116,70.0,68.2
2021-09-12,07,80,102,84,47.2,38.9
2021-09-12,08,04,8,2,0.3,0.1
2021-09-12,08,11,2,1,0.2,0.1
2021-09-12,08,17,585,434,14.7,10.9
2021-09-12,08,24,858,728,34.9,29.6
2021-09-12,08,29,752,630,36.0,30.2
2021-09-12,08,39,2002,1720,43.5,37.4
2021-09-12,08,49,2254,2007,40.2,35.8
2021-09-12,08,59,2758,2460,54.7,48.8
2021-09-12,08,09,3,2,0.1,0.1
2021-09-12,08,64,1085,994,62.8,57.5
2021-09-12,08,69,801,725,60.1,54.4
2021-09-12,08,74,552,516,72.0,67.3
2021-09-12,08,79,329,309,85.1,80.0
2021-09-12,08,80,231,204,55.4,49.0
2021-09-12,11,04,1240,590,0.2,0.1
2021-09-12,11,11,2037,1398,0.6,0.4
2021-09-12,11,17,546117,436106,59.4,47.4
2021-09-12,11,24,966623,877847,87.9,79.8
2021-09-12,11,29,791931,731650,91.8,84.8
2021-09-12,11,39,1545012,1430779,87.9,81.4
2021-09-12,11,49,1494576,1410181,89.4,84.4
2021-09-12,11,59,1413867,1357280,91.9,88.2
2021-09-12,11,09,438,132,0.1,0.0
2021-09-12,11,64,563004,543592,89.2,86.1
2021-09-12,11,69,452323,438117,82.8,80.2
2021-09-12,11,74,422274,410548,87.9,85.5
2021-09-12,11,79,274035,267171,87.7,85.5
2021-09-12,11,80,444564,428503,81.4,78.4
2021-09-12,24,04,92,38,0.1,0.0
2021-09-12,24,11,453,300,0.7,0.5
2021-09-12,24,17,137769,113469,72.4,59.6
2021-09-12,24,24,167105,155222,90.7,84.2
2021-09-12,24,29,100775,93390,81.0,75.1
2021-09-12,24,39,230871,215546,79.0,73.7
2021-09-12,24,49,267959,255893,83.6,79.8
2021-09-12,24,59,300855,291260,88.3,85.5
2021-09-12,24,09,57,9,0.0,0.0
2021-09-12,24,64,148365,144946,88.9,86.8
2021-09-12,24,69,145638,142744,88.9,87.2
2021-09-12,24,74,145704,142993,98.3,96.5
2021-09-12,24,79,92305,89938,99.0,98.0
2021-09-12,24,80,163549,157472,87.2,84.0
2021-09-12,27,04,107,40,0.1,0.0
2021-09-12,27,11,667,453,1.0,0.7
2021-09-12,27,17,145345,121550,72.0,60.2
2021-09-12,27,24,179085,165117,87.0,80.2
2021-09-12,27,29,106459,98032,78.3,72.1
2021-09-12,27,39,242797,226174,77.0,71.7
2021-09-12,27,49,284235,270984,83.1,79.3
2021-09-12,27,59,330781,320106,88.5,85.6
2021-09-12,27,09,70,20,0.0,0.0
2021-09-12,27,64,166879,163182,89.5,87.5
2021-09-12,27,69,166221,162995,90.2,88.5
2021-09-12,27,74,167275,164256,98.8,97.0
2021-09-12,27,79,104810,102624,99.0,97.6
2021-09-12,27,80,179435,173370,88.1,85.1
2021-09-12,28,04,104,46,0.1,0.0
2021-09-12,28,11,591,416,0.7,0.5
2021-09-12,28,17,201020,169722,80.8,68.2
2021-09-12,28,24,245925,229686,95.8,89.4
2021-09-12,28,29,150398,139905,89.9,83.7
2021-09-12,28,39,336671,316650,87.4,82.2
2021-09-12,28,49,370860,354998,91.1,87.2
2021-09-12,28,59,411911,400047,94.5,91.8
2021-09-12,28,09,67,19,0.0,0.0
2021-09-12,28,64,204981,200617,94.6,92.6
2021-09-12,28,69,199543,195961,94.3,92.6
2021-09-12,28,74,193051,189672,99.0,99.0
2021-09-12,28,79,116006,113443,99.0,99.0
2021-09-12,28,80,201348,194351,89.5,86.4
2021-09-12,32,04,231,76,0.1,0.0
2021-09-12,32,11,1036,698,0.7,0.4
2021-09-12,32,17,348574,293339,73.5,61.8
2021-09-12,32,24,451230,417264,87.3,80.8
2021-09-12,32,29,272918,253354,81.6,75.8
2021-09-12,32,39,614056,575170,81.6,76.4
2021-09-12,32,49,660085,629461,86.9,82.9
2021-09-12,32,59,687781,666182,90.1,87.3
2021-09-12,32,09,135,25,0.0,0.0
2021-09-12,32,64,323373,315563,89.5,87.3
2021-09-12,32,69,304823,298195,89.4,87.5
2021-09-12,32,74,287900,282068,98.5,96.5
2021-09-12,32,79,158198,154676,99.0,96.8
2021-09-12,32,80,266111,256144,84.0,80.8
2021-09-12,44,04,249,107,0.1,0.0
2021-09-12,44,11,1137,756,0.9,0.6
2021-09-12,44,17,275061,231906,70.1,59.1
2021-09-12,44,24,373632,347298,83.1,77.3
2021-09-12,44,29,237206,220870,78.1,72.8
2021-09-12,44,39,524175,491958,77.6,72.8
2021-09-12,44,49,580160,554084,83.6,79.8
2021-09-12,44,59,664391,644835,88.0,85.5
2021-09-12,44,09,135,26,0.0,0.0
2021-09-12,44,64,322675,315535,89.1,87.2
2021-09-12,44,69,306077,300432,89.7,88.1
2021-09-12,44,74,284283,279438,99.0,98.0
2021-09-12,44,79,170833,167755,94.6,92.9
2021-09-12,44,80,295805,286915,86.0,83.4
2021-09-12,52,04,149,65,0.1,0.0
2021-09-12,52,11,740,503,0.7,0.5
2021-09-12,52,17,240704,198289,80.5,66.3
2021-09-12,52,24,284563,266397,94.4,88.3
2021-09-12,52,29,172617,160911,89.3,83.3
2021-09-12,52,39,390553,367056,85.6,80.5
2021-09-12,52,49,441172,421566,90.5,86.5
2021-09-12,52,59,452347,438870,93.6,90.8
2021-09-12,52,09,96,19,0.0,0.0
2021-09-12,52,64,217737,213725,92.9,91.2
2021-09-12,52,69,213732,210765,93.4,92.1
2021-09-12,52,74,208740,206051,99.0,99.0
2021-09-12,52,79,123865,122443,99.0,99.0
2021-09-12,52,80,224456,218751,88.6,86.4
2021-09-12,53,04,144,56,0.1,0.0
2021-09-12,53,11,516,320,0.6,0.4
2021-09-12,53,17,211326,164227,84.3,65.5
2021-09-12,53,24,244987,226701,94.0,87.0
2021-09-12,53,29,143914,132059,90.1,82.7
2021-09-12,53,39,324603,300739,85.8,79.5
2021-09-12,53,49,378822,358126,89.3,84.4
2021-09-12,53,59,415036,399774,93.7,90.3
2021-09-12,53,09,75,17,0.0,0.0
2021-09-12,53,64,212290,207447,96.1,93.9
2021-09-12,53,69,207944,204221,96.4,94.7
2021-09-12,53,74,206834,203191,99.0,99.0
2021-09-12,53,79,120898,118876,99.0,99.0
2021-09-12,53,80,218300,211803,91.9,89.1
2021-09-12,75,04,324,138,0.1,0.1
2021-09-12,75,11,1123,697,0.8,0.5
2021-09-12,75,17,328890,271095,79.2,65.3
2021-09-12,75,24,408240,380982,90.9,84.9
2021-09-12,75,29,251920,234111,87.4,81.2
2021-09-12,75,39,568789,533979,83.8,78.6
2021-09-12,75,49,666678,637300,88.0,84.1
2021-09-12,75,59,744037,721169,92.5,89.7
2021-09-12,75,09,189,33,0.1,0.0
2021-09-12,75,64,374597,366789,92.7,90.7
