reg,date,first_dose,second_dose,first_percent,second_percent
01,2020-12-27,0,0,0.0,0.0
01,2020-12-28,0,0,0.0,0.0
01,2020-12-29,0,0,0.0,0.0
01,2020-12-30,0,0,0.0,0.0
01,2020-12-31,0,0,0.0,0.0
01,2021-01-01,1,0,0.0,0.0
01,2021-01-02,0,0,0.0,0.0
01,2021-01-03,0,0,0.0,0.0
01,2021-01-04,1,0,0.0,0.0
01,2021-01-05,0,0,0.0,0.0
01,2021-01-06,1,0,0.0,0.0
01,2021-01-07,0,0,0.0,0.0
01,2021-01-08,57,1,0.0,0.0
01,2021-01-09,20,0,0.0,0.0
01,2021-01-10,0,0,0.0,0.0
01,2021-01-11,60,0,0.0,0.0
01,2021-01-12,45,0,0.0,0.0
01,2021-01-13,47,1,0.1,0.0
01,2021-01-14,63,0,0.1,0.0
01,2021-01-15,77,0,0.1,0.0
01,2021-01-16,0,0,0.1,0.0
01,2021-01-17,0,0,0.1,0.0
01,2021-01-18,81,1,0.1,0.0
01,2021-01-19,145,0,0.2,0.0
01,2021-01-20,135,0,0.2,0.0
01,2021-01-21,154,1,0.2,0.0
01,2021-01-22,135,0,0.3,0.0
01,2021-01-23,1,0,0.3,0.0
01,2021-01-24,0,0,0.3,0.0
01,2021-01-25,203,1,0.3,0.0
01,2021-01-26,217,1,0.4,0.0
01,2021-01-27,236,0,0.4,0.0
01,2021-01-28,242,2,0.5,0.0
01,2021-01-29,197,2,0.6,0.0
01,2021-01-30,25,0,0.6,0.0
01,2021-01-31,1,0,0.6,0.0
01,2021-02-01,229,3,0.6,0.0
01,2021-02-02,246,13,0.7,0.0
01,2021-02-03,227,3,0.8,0.0
01,2021-02-04,304,21,0.8,0.0
01,2021-02-05,280,25,0.9,0.0
01,2021-02-06,49,1,0.9,0.0
01,2021-02-07,0,0,0.9,0.0
01,2021-02-08,257,18,1.0,0.0
01,2021-02-09,316,25,1.1,0.0
01,2021-02-10,251,21,1.1,0.0
01,2021-02-11,298,99,1.2,0.1
01,2021-02-12,291,25,1.3,0.1
01,2021-02-13,50,4,1.3,0.1
01,2021-02-14,19,36,1.3,0.1
01,2021-02-15,85,46,1.3,0.1
01,2021-02-16,16,1,1.3,0.1
01,2021-02-17,17,1,1.3,0.1
01,2021-02-18,251,11,1.4,0.1
01,2021-02-19,249,15,1.5,0.1
01,2021-02-20,49,0,1.5,0.1
01,2021-02-21,1,0,1.5,0.1
01,2021-02-22,192,50,1.5,0.1
01,2021-02-23,204,59,1.6,0.1
01,2021-02-24,344,113,1.7,0.2
01,2021-02-25,386,69,1.8,0.2
01,2021-02-26,232,72,1.9,0.2
01,2021-02-27,65,0,1.9,0.2
01,2021-02-28,1,0,1.9,0.2
01,2021-03-01,180,78,1.9,0.2
01,2021-03-02,279,118,2.0,0.2
01,2021-03-03,245,101,2.1,0.3
01,2021-03-04,335,77,2.1,0.3
01,2021-03-05,375,138,2.2,0.3
